iter	Passed	Remaining
0	1	110
1	1	97
2	2	96
3	3	88
4	4	88
5	5	87
6	6	85
7	7	83
8	8	83
9	11	102
10	12	101
11	13	98
12	14	95
13	15	92
14	16	90
15	16	88
16	17	87
17	18	84
18	19	83
19	20	81
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	74	83
47	75	81
48	76	79
49	77	77
50	78	75
51	80	74
52	82	72
53	83	71
54	84	68
55	85	67
56	86	65
57	87	63
58	89	61
59	90	60
60	91	58
61	92	56
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	97	45
68	98	44
69	99	42
70	100	40
71	100	39
72	101	37
73	102	36
74	104	34
75	104	33
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	111	22
83	112	21
84	112	19
85	113	18
86	114	17
87	115	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	125	1
99	126	0
